Inference Run: btcv_supervised_sota_20260318_185025
Model: baseline/models/model_patch_best.h5
Average Dice: 0.0000
------------------------------
DET0000101_avg: 0.0000
DET0000201_avg: 0.0000
DET0000801_avg: 0.0000
DET0001101_avg: 0.0000
DET0001201_avg: 0.0000
DET0001301_avg: 0.0000
DET0001401_avg: 0.0000
DET0001501_avg: 0.0000
DET0001601_avg: 0.0000
DET0001701_avg: 0.0000
DET0001801_avg: 0.0000
DET0002001_avg: 0.0000
DET0002401_avg: 0.0000
DET0002501_avg: 0.0000
DET0002601_avg: 0.0000
DET0002701_avg: 0.0000
DET0002801_avg: 0.0000
DET0003101_avg: 0.0000
DET0003201_avg: 0.0000
DET0003301_avg: 0.0000
DET0003401_avg: 0.0000
DET0003501_avg: 0.0000
DET0003601_avg: 0.0000
DET0003801_avg: 0.0000
DET0003901_avg: 0.0000
DET0004001_avg: 0.0000
DET0004101_avg: 0.0000
DET0004201_avg: 0.0000
DET0004301_avg: 0.0000
DET0004401_avg: 0.0000
DET0004601_avg: 0.0000
DET0004701_avg: 0.0000
DET0004801_avg: 0.0000
DET0004901_avg: 0.0000
DET0005001_avg: 0.0000
DET0005101_avg: 0.0000
DET0005201_avg: 0.0000
DET0005401_avg: 0.0000
DET0005601_avg: 0.0000
DET0005701_avg: 0.0000
DET0005801_avg: 0.0000
DET0005901_avg: 0.0000
DET0006001_avg: 0.0000
DET0006101_avg: 0.0000
DET0006201_avg: 0.0000
DET0006301_avg: 0.0000
DET0006401_avg: 0.0000
DET0006501_avg: 0.0000
DET0007101_avg: 0.0000
DET0008801_avg: 0.0000
DET0008901_avg: 0.0000
DET0009001_avg: 0.0000
DET0009301_avg: 0.0000
DET0010601_avg: 0.0000
DET0014101_avg: 0.0000
DET0014201_avg: 0.0000
DET0015201_avg: 0.0000
DET0015401_avg: 0.0000
DET0015601_avg: 0.0000
DET0016101_avg: 0.0000
DET0021501_avg: 0.0000
DET0021701_avg: 0.0000
DET0024401_avg: 0.0000
DET0026901_avg: 0.0000
DET0028301_avg: 0.0000
DET0028601_avg: 0.0000
DET0028801_avg: 0.0000
DET0029001_avg: 0.0000
DET0030901_avg: 0.0000
DET0035501_avg: 0.0000
DET0037101_avg: 0.0000
DET0039401_avg: 0.0000
DET0039501_avg: 0.0000
DET0040001_avg: 0.0000
DET0040101_avg: 0.0000
DET0040201_avg: 0.0000
DET0042001_avg: 0.0000
DET0042401_avg: 0.0000
DET0042501_avg: 0.0000
DET0042601_avg: 0.0000
DET0043101_avg: 0.0000
DET0043201_avg: 0.0000
DET0044601_avg: 0.0000
