Inference Run: tcia_supervised_sota_20260318_172028
Model: baseline/models/model_patch_best.h5
Average Dice: 0.0310
------------------------------
pancreas_ext_001: 0.0000
pancreas_ext_002: 0.1432
pancreas_ext_003: 0.0000
pancreas_ext_004: 0.0000
pancreas_ext_005: 0.0000
pancreas_ext_006: 0.0042
pancreas_ext_007: 0.1578
pancreas_ext_008: 0.1443
pancreas_ext_009: 0.0205
pancreas_ext_010: 0.0000
pancreas_ext_011: 0.0000
pancreas_ext_012: 0.0000
pancreas_ext_013: 0.0938
pancreas_ext_014: 0.0147
pancreas_ext_015: 0.0000
pancreas_ext_016: 0.0752
pancreas_ext_017: 0.0212
pancreas_ext_018: 0.0068
pancreas_ext_019: 0.0050
pancreas_ext_020: 0.0004
pancreas_ext_021: 0.0945
pancreas_ext_022: 0.0000
pancreas_ext_023: 0.0000
pancreas_ext_024: 0.0175
pancreas_ext_026: 0.0095
pancreas_ext_027: 0.0977
pancreas_ext_028: 0.0100
pancreas_ext_029: 0.0556
pancreas_ext_030: 0.0003
pancreas_ext_031: 0.0009
pancreas_ext_032: 0.0023
pancreas_ext_033: 0.0176
pancreas_ext_034: 0.0021
pancreas_ext_035: 0.0073
pancreas_ext_036: 0.0019
pancreas_ext_037: 0.0051
pancreas_ext_038: 0.0004
pancreas_ext_039: 0.0054
pancreas_ext_040: 0.0749
pancreas_ext_041: 0.0000
pancreas_ext_042: 0.0796
pancreas_ext_043: 0.0508
pancreas_ext_044: 0.0917
pancreas_ext_045: 0.0020
pancreas_ext_046: 0.0043
pancreas_ext_047: 0.0328
pancreas_ext_048: 0.0683
pancreas_ext_049: 0.0391
pancreas_ext_050: 0.0010
pancreas_ext_051: 0.0000
pancreas_ext_052: 0.1269
pancreas_ext_053: 0.2252
pancreas_ext_054: 0.0798
pancreas_ext_055: 0.0132
pancreas_ext_056: 0.0242
pancreas_ext_057: 0.0001
pancreas_ext_058: 0.0000
pancreas_ext_059: 0.1617
pancreas_ext_060: 0.1037
pancreas_ext_061: 0.0450
pancreas_ext_062: 0.0000
pancreas_ext_063: 0.0155
pancreas_ext_064: 0.0091
pancreas_ext_065: 0.0000
pancreas_ext_066: 0.0009
pancreas_ext_067: 0.0050
pancreas_ext_068: 0.0490
pancreas_ext_069: 0.0209
pancreas_ext_071: 0.0207
pancreas_ext_072: 0.0313
pancreas_ext_073: 0.0002
pancreas_ext_074: 0.0125
pancreas_ext_075: 0.0183
pancreas_ext_076: 0.0046
pancreas_ext_077: 0.0082
pancreas_ext_078: 0.0124
pancreas_ext_079: 0.0201
pancreas_ext_080: 0.0000
pancreas_ext_081: 0.0000
pancreas_ext_082: 0.0148
