Inference Run: tcia_uamt_50_20260318_195608
Model: baseline/models/ssl_uamt_50/standalone_best.h5
Average Dice: 0.6031
------------------------------
pancreas_ext_001: 0.4253
pancreas_ext_002: 0.5905
pancreas_ext_003: 0.2080
pancreas_ext_004: 0.6057
pancreas_ext_005: 0.7113
pancreas_ext_006: 0.3104
pancreas_ext_007: 0.6934
pancreas_ext_008: 0.6444
pancreas_ext_009: 0.3264
pancreas_ext_010: 0.7634
pancreas_ext_011: 0.3114
pancreas_ext_012: 0.7372
pancreas_ext_013: 0.7454
pancreas_ext_014: 0.4967
pancreas_ext_015: 0.6060
pancreas_ext_016: 0.8189
pancreas_ext_017: 0.8191
pancreas_ext_018: 0.7058
pancreas_ext_019: 0.5342
pancreas_ext_020: 0.7722
pancreas_ext_021: 0.8110
pancreas_ext_022: 0.4406
pancreas_ext_023: 0.4946
pancreas_ext_024: 0.6623
pancreas_ext_026: 0.8362
pancreas_ext_027: 0.7245
pancreas_ext_028: 0.5936
pancreas_ext_029: 0.5736
pancreas_ext_030: 0.6431
pancreas_ext_031: 0.5694
pancreas_ext_032: 0.7321
pancreas_ext_033: 0.1499
pancreas_ext_034: 0.7325
pancreas_ext_035: 0.6956
pancreas_ext_036: 0.7188
pancreas_ext_037: 0.6920
pancreas_ext_038: 0.6068
pancreas_ext_039: 0.6984
pancreas_ext_040: 0.5531
pancreas_ext_041: 0.6386
pancreas_ext_042: 0.4828
pancreas_ext_043: 0.7225
pancreas_ext_044: 0.7918
pancreas_ext_045: 0.6392
pancreas_ext_046: 0.5935
pancreas_ext_047: 0.6469
pancreas_ext_048: 0.7121
pancreas_ext_049: 0.6426
pancreas_ext_050: 0.6670
pancreas_ext_051: 0.1810
pancreas_ext_052: 0.8448
pancreas_ext_053: 0.6653
pancreas_ext_054: 0.6370
pancreas_ext_055: 0.4807
pancreas_ext_056: 0.5919
pancreas_ext_057: 0.4771
pancreas_ext_058: 0.6935
pancreas_ext_059: 0.6874
pancreas_ext_060: 0.8091
pancreas_ext_061: 0.6931
pancreas_ext_062: 0.2494
pancreas_ext_063: 0.7449
pancreas_ext_064: 0.7144
pancreas_ext_065: 0.6732
pancreas_ext_066: 0.5043
pancreas_ext_067: 0.5757
pancreas_ext_068: 0.7233
pancreas_ext_069: 0.6128
pancreas_ext_071: 0.5406
pancreas_ext_072: 0.7515
pancreas_ext_073: 0.4940
pancreas_ext_074: 0.6863
pancreas_ext_075: 0.4173
pancreas_ext_076: 0.6505
pancreas_ext_077: 0.6438
pancreas_ext_078: 0.5025
pancreas_ext_079: 0.6788
pancreas_ext_080: 0.3682
pancreas_ext_081: 0.0000
pancreas_ext_082: 0.6679
